1008581121213714 645S  111222921  232252221 2112 224111.61                              
10085911212138304831R  121252121  232267621 8413222631 .32                              
1008661121213818 645U  3 2351211  212246823 6313122434 .67                              
10087411212135414142S  1333512221 132165421 1134912621 .38                              
10087611212138151723U  3 2151211  211150821 8413122431 .64                              
10088311212133605343S  131252111  13226942199113222621 .34                              
10088611212135095341S  111251211  311236625 7412 223341.17                              
10089111212138151723U  3 21512122 132260421 3131 11521 .73                              
1008931121213510 645U  1321522221 332154324999132124142.45                              
10089411212133605341S  3 2151211  222276421 5211 22621 .57                              
10089511212132191824S  123221211  111233622 4212 22232 .48                              
10090111212133605343U  131151121  311143721 7413122331 .86                              
1009051121213562 645S  112151211  43216232199912 225111.51                              
10090711214138151723S  3 2151121  211240821 8411 22331 .90                              
1009181121213760 643S  131259191  232281321 2113922611 .61                              
10092211212133605341R  1392522222 132261821 2113911531 .46                              
1009271121213415 645U  123151221  232191321 9413122611 .93                              
1009371121213831 642S  3 3252111  23217682199913922631 .38                              
1009401121513209 641R  3 22522122 13216932199911 11611 .64                              
1009411121213916 644U  3 2252991  322264321 74132225111.40                              
10094711212135414141U  3 2159291  232290421 2113222621 .57                              
10095111212135095341R  1112591921 131137216 2132 123131.90HISPANIC                      
10095311212137753241R  3 24521222 13227082199213211631 .32                              
10095711212135414141S  3 2321991  212159311 63239225131.51                              
1009591121213415 645U  3 2252211  332218323 31142221141.34                              
10097511212137753243U  3 23992222 422218216999349111132.45HISPANIC                      
10097611215135414141U  113351121  211139621 8413122331 .71                              
10098011215133605341R  9 1292121  23226762999913222639 .33                              
1009851121213916 644U  111251111  132259324 3112 22514 .67                              
10098911213135862624S  1231511222 13228842199912 11621 .66                              
10099211213135853612S  131351121  222182221 4213122611 .66                              
10099311214137403922S  111121121  222181321 7412 22611 .56                              
10100411213133303922S  139431111  132152421 3111 22421 .50                              
10101211213137271235S  111121211  231231621 42131222311.07                              
10101711213133153613S  121351221  132276321 4212 22611 .43                              
10102011213134193922R  1213511222 132170416 5219211623 .74HISPANIC                      
10102211214136172514S  113121221  21114062599913922334 .95                              
10102511213134432432S  3 2499211  232185429 6311 22629 .44                              
10102611213132601823U  123351121  232258221 2133922511 .83                              
10103111213132692622U  121351211  222264621 6312 22531 .40                              
10104111213137183615U  1312321222 122272322 3112 11612 .77                              
10104611213134102432R  121231121  232236222 1112 223121.52                              
10105311213137812514S  131231121  232175821 9423222631 .61                              
10106711213133363731S  1313512121 211135321 42331123112.11                              
10107011213137183615U  111351211  332164321 4222 225111.71                              
1010721121313203 914S  191129111  13218382199933122631 .39                              
10107611213134193921S  111399291  132243329 1111 223191.38                              
10108711213136073611R  1213511222 232262421 6312 115211.81                              
1010911121313860 914S  3 2121921  132287621 5213122631 .32                              
10110311213138563412S  131391111  232152322 8411 224121.00                              
10110511213135172622R  3 21512122 132288521 2113111621 .47                              
10110811213135082513S  113351211  332275321 6313122611 .86                              
10111611214135405134R  121251121  232274421 7412 22621 .68                              
10112911213134781331R  3 2321211  312220522 2111 221221.30                              
10113211213137271235S  3 23592122 232280321 4211 116111.65                              
10113411213135704213S  1111511222 132186321 2111 11611 .69                              
10113511213133473615U  1113511122 131229311 11142112132.45                              
10114411213136073611R  123252121  22226532199413222611 .72                              
10114511213138283732S  112159211  232178221 3111 22611 .56                              
10114811213137061332R  111222211  232168221 2133122611 .56                              
10115411213133045431R  3 13522922 132299221 1111 11911 .58                              
10116911213134345134R  121222121  232177821 8413222631 .51                              
10117011213133045431R  121211921  132268322 1113222612 .32                              
10117511213139541234U  1112112122 232177321 21139116111.53                              
10117611213133045432R  1192391122 132148225 1133911414 .98                              
10117811213133051234U  1312921221 422128519 42339122232.45                              
10118011213135704213S  121151121  322260321 7412 225111.23                              
10118111213133045432R  113121211  232243821 6311 22331 .81                              
10118811213139083414S  1111519922 13229182199431 11631 .44                              
10119011213137163613S  133221221  332265421 6312 22621 .78                              
10119111213139373924S  131392111  332162421 42139225211.01                              
10119211213139733414S  131252111  331266621 6312 22631 .57                              
10119311213138592133S  3 2151211  21113762199911 22331 .66                              
