caseid;turnout12;turnout12b;vote12;percent16;meet;givefut;info;march;sign;give12mo;compromise;ftobama;ftblack;ftwhite;fthisp;ftgay;ftjeb;fttrump;ftcarson;fthrc;ftrubio;ftcruz;ftsanders;ftfiorina;ftpolice;ftfem;fttrans;ftmuslim;ftsci;reg;demcand;repcand;vote16jb;vote16bc;vote16tc;vote16mr;vote16dt;presjob;lazyb;lazyw;lazyh;lazym;violentb;violentw;violenth;violentm;econnow;econ12mo;pid1d;pid2d;pid1r;pid2r;pidstr;pidlean;lcself;lcd;lcr;lchc;lcbo;lcdt;lcmr;lctc;srv_spend;campfin;immig_legal;immig_numb;equalpay;parleave;crimespend;death;terror_worry;terror_12mo;terror_local;relig_bc;relig_bcstr;relig_srv;relig_srvstr;incgap20;isis_troops;syrians_a;syrians_b;pc_a;pc_b;minwage;healthspend;childcare;getahead;ladder;finwell;warm;warmbad;warmcause;warmdo;freetrade;stopwhite;stopblack;forcewhite;forceblack;stop_12mo;arrested_12mo;charged_12mo;jailed_12mo;convict_12mo;famstop_12mo;stop_ever;arrested_ever;charged_ever;jailed_ever;convict_ever;famstop_ever;pk_deficit;pk_sen;pk_spend;birthright_a;birthright_b;femoff_jobs;femoff_ed;femoff_spend;femoff_issues;lpres_pleased;lpres_immig;lpres_la;vaccine;autism;bo_muslim;bo_confid;amer_ident;race_ident;whitework;whitejob;wguilt1;wguilt2;wguilt3;buycott;boycott;skintone_mob;skintone;skin_discrim;africanam10_1;white10_1;hispanic10_1;asianam10_1;nativeam10_1;other10_1;other10_open;birthyr;gender;race;race_other;educ;marstat;speakspanish;employ;employ_t;faminc;faminc2;state;votereg;pid3;pid7;ideo5;newsint;pew_bornagain;pew_churatd;religpew;religpew_t;ever_vs_12mo_rand
119;1;NA;2;89;4;5;5;2;2;2;1;60;26;74;32;53;48;13;56;55;60;54;63;50;39;41;50;18;85;1;2;3;NA;NA;NA;3;1;3;1;3;1;3;2;3;3;3;3;3;NA;__NA__;3;__NA__;NA;3;5;5;2;1;2;7;5;3;3;2;3;3;3;3;5;2;NA;4;5;2;3;1;3;4;7;NA;7;4;NA;2;3;4;2;5;3;1;2;3;3;3;2;3;3;3;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;12;4;1;NA;2;NA;3;NA;5;NA;3;3;4;2;4;3;2;1;2;5;5;5;2;2;99;3;5;0;10;0;0;0;0;NA;1964;1;1;__NA__;2;1;4;1;__NA__;8;99;36;1;3;4;4;4;2;6;1;__NA__;2
120;1;NA;2;100;3;3;4;2;2;2;1;88;80;85;70;83;13;6;40;61;50;31;90;15;63;82;93;72;90;1;3;10;NA;1;NA;1;NA;2;3;3;3;3;2;2;2;2;2;2;NA;__NA__;1;__NA__;1;NA;4;2;7;2;2;6;7;7;5;1;4;4;1;1;3;2;2;3;4;2;1;2;1;1;3;4;NA;NA;4;1;2;3;2;4;6;1;2;1;1;4;3;4;3;5;NA;NA;NA;NA;NA;NA;1;2;2;2;2;2;1;6;3;3;NA;NA;NA;4;4;3;3;NA;1;3;2;2;2;3;3;3;5;5;3;2;2;99;2;5;0;10;0;0;0;0;NA;1952;1;1;__NA__;2;1;4;5;__NA__;97;99;36;1;1;2;3;3;2;7;11;__NA__;2
121;1;NA;2;80;4;5;5;2;2;2;2;16;41;55;40;40;11;56;20;4;31;29;21;12;65;NA;39;40;58;1;4;NA;NA;NA;4;4;NA;6;3;3;3;3;3;3;3;3;3;4;4;myself;NA;__NA__;NA;3;4;2;5;1;1;6;5;7;4;2;2;4;2;1;4;2;NA;3;3;2;2;1;1;1;3;NA;7;4;NA;2;4;4;2;4;5;1;3;3;4;5;3;3;3;3;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;4;NA;7;NA;NA;3;3;5;3;NA;5;3;1;3;2;3;3;4;5;4;5;2;2;99;3;5;0;10;0;0;0;0;NA;1972;2;1;__NA__;1;1;4;7;__NA__;3;99;27;1;4;4;3;2;2;6;11;__NA__;1
122;2;NA;NA;80;5;5;5;2;2;2;2;2;100;51;3;17;30;64;67;3;10;20;52;5;99;21;19;31;40;1;5;2;NA;NA;3;3;NA;7;4;4;2;3;4;4;2;3;4;4;3;__NA__;NA;__NA__;NA;3;4;4;4;4;4;4;4;4;6;4;5;5;1;3;3;1;NA;1;1;2;1;1;1;2;4;7;NA;NA;3;1;2;4;2;6;3;1;3;3;4;4;3;3;3;3;NA;NA;NA;NA;NA;NA;2;1;1;2;1;1;1;4;4;1;NA;NA;4;NA;4;5;NA;1;2;3;1;1;1;3;4;3;5;5;4;2;2;99;2;5;2;8;0;0;0;0;NA;1947;2;1;__NA__;1;3;4;5;__NA__;2;99;39;1;3;4;6;2;2;6;1;__NA__;2
123;1;NA;1;100;4;4;4;2;2;2;1;1;72;70;91;6;82;91;69;3;60;89;3;82;100;7;3;1;41;1;2;4;NA;NA;2;2;NA;7;4;4;4;4;3;3;4;2;3;3;1;__NA__;NA;__NA__;2;NA;5;1;4;1;1;4;4;5;4;7;2;4;1;7;4;1;2;3;4;1;1;1;1;2;1;7;NA;NA;4;4;3;4;3;5;5;1;3;2;5;4;2;3;3;3;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;2;6;4;5;NA;2;3;NA;NA;2;NA;4;4;5;1;3;1;2;NA;NA;NA;NA;NA;2;1;99;4;4;0;4;6;0;0;0;NA;1945;1;3;__NA__;5;1;3;5;__NA__;6;99;6;1;1;2;3;1;2;2;3;__NA__;1
124;1;NA;1;100;5;4;5;2;2;2;2;1;100;100;100;60;85;75;50;35;50;50;35;50;85;50;50;50;60;1;5;1;NA;NA;2;NA;2;7;3;3;3;3;3;3;3;3;3;3;2;__NA__;NA;__NA__;1;NA;7;1;6;2;1;5;4;4;4;4;2;5;1;2;3;1;NA;1;3;1;1;1;1;3;3;NA;6;3;NA;1;5;5;3;4;3;1;2;3;3;4;3;3;3;3;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;1;6;4;3;NA;3;NA;NA;4;3;3;NA;3;4;1;3;1;1;2;3;4;5;5;2;2;99;2;3;0;10;0;0;0;0;NA;1963;2;1;__NA__;2;1;4;7;__NA__;6;99;45;1;2;7;5;3;1;2;1;__NA__;2
125;2;NA;NA;0;2;5;5;2;2;2;2;70;50;52;50;50;16;1;50;29;51;50;61;51;71;50;51;51;91;2;5;11;NA;4;NA;4;NA;2;4;4;5;4;3;4;4;3;3;4;3;__NA__;NA;__NA__;NA;3;4;4;4;4;4;4;4;4;3;1;4;4;1;1;1;1;NA;3;3;2;1;2;2;1;2;7;NA;NA;4;1;1;2;2;6;6;1;2;3;2;7;2;3;2;3;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;1;NA;7;NA;4;4;NA;4;8;NA;2;5;8;NA;2;2;1;2;5;5;5;2;2;2;99;4;0;10;0;0;0;0;NA;1952;1;1;__NA__;2;1;4;6;__NA__;97;99;36;2;3;4;6;2;2;6;10;__NA__;1
126;1;NA;2;99;3;1;3;2;1;1;2;94;78;87;87;87;13;1;13;80;10;2;99;5;81;88;80;78;94;1;3;11;NA;NA;NA;1;1;2;4;4;4;4;3;3;5;3;1;4;NA;__NA__;1;__NA__;1;NA;2;2;7;3;2;7;7;7;6;2;1;3;1;2;2;4;3;4;5;2;1;1;3;1;6;2;NA;3;NA;1;3;2;2;7;5;1;2;1;1;4;2;4;2;4;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;2;6;4;NA;4;NA;NA;4;3;3;4;NA;1;6;2;1;4;5;5;5;4;4;4;1;1;1;99;5;0;NA;0;0;1;0;NA;1961;2;1;__NA__;4;1;4;1;__NA__;6;99;1;1;1;1;2;1;2;5;2;__NA__;1
127;1;NA;1;100;5;5;5;2;2;2;2;39;73;75;96;59;40;75;61;100;69;66;79;69;100;51;41;50;88;1;1;2;NA;1;NA;1;NA;5;3;4;5;4;4;4;4;4;2;2;1;__NA__;NA;__NA__;1;NA;6;2;5;5;5;5;4;5;5;4;2;3;1;1;2;3;1;NA;1;2;2;1;2;2;2;NA;5;NA;2;1;3;4;3;2;2;1;2;1;1;3;3;4;3;4;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;1;6;2;4;NA;2;NA;3;NA;3;NA;3;1;4;1;2;1;1;3;2;4;4;4;2;2;99;1;5;3;3;1;1;1;1;NA;1939;2;1;__NA__;2;1;4;5;__NA__;5;99;8;1;1;1;3;2;2;6;2;__NA__;2
128;1;NA;1;50;5;5;5;2;2;2;2;1;50;51;50;0;10;70;100;0;60;65;91;40;100;2;0;0;12;1;2;NA;4;NA;NA;NA;2;7;3;3;3;3;2;3;2;1;5;4;NA;__NA__;4;ultra conserative;NA;3;7;1;4;1;1;5;5;6;2;4;1;4;4;6;4;1;1;1;3;1;1;1;1;3;3;7;NA;NA;4;3;7;4;5;2;6;2;3;2;7;4;3;3;3;3;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;4;1;NA;NA;4;NA;1;3;NA;4;4;3;1;1;1;3;2;3;5;5;5;1;1;99;3;5;0;10;0;0;0;0;NA;1937;1;1;__NA__;2;1;4;5;__NA__;5;99;6;1;4;4;5;3;2;2;1;__NA__;1
